source,filament,dist_min,dist_min_pc,pa,within_10arcmin
hops 84,filament162_north,13.88096419,0.05572170921,136.0668584,filament75_north filament366_north filament61_north filament400_north filament347_north filament40_north filament311_north filament106_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament322_north filament114_north filament135_north filament198_north filament74_north filament328_north filament164_north filament214_north filament41_north filament126_north filament91_north filament58_north filament113_north filament382_north filament107_north filament162_north filament268_north filament389_north filament249_north filament280_north filament323_north filament30_north filament193_north filament464_north filament134_north filament109_north filament217_north filament167_north filament416_north filament370_north filament258_north filament128_north filament92_north filament395_north filament14_north filament196_north filament313_north filament255_north filament283_north filament410_north filament65_north filament154_north filament247_north filament266_north filament166_north filament399_north filament403_north filament259_north filament62_north filament76_north filament284_north filament111_north filament93_north filament394_north filament380_north filament197_north filament312_north filament130_north filament296_north filament319_north filament64_north filament155_north filament188_north filament314_north filament191_north filament246_north filament267_north filament321_north filament48_north
hops 87,filament164_north,1.938452611,0.007781440195,107.1205541,filament75_north filament366_north filament400_north filament347_north filament40_north filament311_north filament127_north filament106_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament322_north filament114_north filament135_north filament10_north filament198_north filament74_north filament328_north filament164_north filament214_north filament41_north filament126_north filament91_north filament58_north filament113_north filament439_north filament382_north filament107_north filament162_north filament268_north filament389_north filament249_north filament280_north filament359_north filament323_north filament30_north filament193_north filament11_north filament464_north filament134_north filament109_north filament217_north filament167_north filament416_north filament370_north filament258_north filament128_north filament92_north filament395_north filament440_north filament14_north filament313_north filament255_north filament283_north filament65_north filament154_north filament247_north filament266_north filament166_north filament399_north filament39_north filament403_north filament259_north filament76_north filament284_north filament111_north filament93_north filament394_north filament380_north filament197_north filament312_north filament130_north filament296_north filament319_north filament64_north filament155_north filament188_north filament314_north filament191_north filament246_north filament267_north filament321_north filament48_north
hops 88,filament164_north,5.655751692,0.02270362108,116.3947231,filament75_north filament366_north filament400_north filament347_north filament40_north filament311_north filament127_north filament106_north filament276_north filament90_north filament262_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament322_north filament114_north filament135_north filament10_north filament198_north filament74_north filament328_north filament164_north filament214_north filament41_north filament126_north filament91_north filament58_north filament113_north filament439_north filament382_north filament107_north filament162_north filament268_north filament389_north filament249_north filament280_north filament359_north filament323_north filament30_north filament193_north filament11_north filament464_north filament134_north filament38_north filament109_north filament217_north filament167_north filament416_north filament370_north filament258_north filament128_north filament92_north filament395_north filament440_north filament14_north filament313_north filament255_north filament283_north filament65_north filament154_north filament247_north filament8_north filament266_north filament166_north filament399_north filament39_north filament403_north filament259_north filament76_north filament284_north filament111_north filament93_north filament394_north filament380_north filament197_north filament312_north filament130_north filament296_north filament319_north filament64_north filament155_north filament188_north filament314_north filament191_north filament246_north filament267_north filament9_north filament321_north filament48_north
hops 92,filament74_north,4.818302393,0.01934188729,131.9020486,filament75_north filament366_north filament400_north filament347_north filament40_north filament311_north filament127_north filament106_north filament276_north filament90_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament322_north filament114_north filament135_north filament10_north filament198_north filament74_north filament328_north filament164_north filament214_north filament41_north filament126_north filament91_north filament58_north filament113_north filament439_north filament382_north filament107_north filament162_north filament268_north filament389_north filament249_north filament280_north filament359_north filament323_north filament30_north filament193_north filament11_north filament464_north filament134_north filament38_north filament109_north filament217_north filament167_north filament416_north filament370_north filament258_north filament128_north filament92_north filament395_north filament440_north filament313_north filament255_north filament283_north filament65_north filament154_north filament247_north filament8_north filament266_north filament166_north filament399_north filament39_north filament403_north filament259_north filament76_north filament284_north filament111_north filament93_north filament394_north filament380_north filament197_north filament312_north filament130_north filament296_north filament319_north filament64_north filament155_north filament188_north filament314_north filament191_north filament246_north filament267_north filament9_north filament321_north filament48_north
hops 96,filament109_north,1.721598534,0.006910932957,14.3958187,filament75_north filament366_north filament400_north filament347_north filament40_north filament311_north filament127_north filament106_north filament276_north filament90_north filament324_north filament112_north filament218_north filament213_north filament269_north filament248_north filament73_north filament322_north filament10_north filament74_north filament328_north filament164_north filament214_north filament41_north filament126_north filament91_north filament439_north filament382_north filament107_north filament162_north filament268_north filament389_north filament249_north filament280_north filament323_north filament193_north filament11_north filament464_north filament109_north filament217_north filament167_north filament370_north filament258_north filament128_north filament92_north filament395_north filament440_north filament313_north filament255_north filament65_north filament154_north filament247_north filament8_north filament266_north filament166_north filament399_north filament39_north filament403_north filament259_north filament76_north filament111_north filament93_north filament394_north filament380_north filament197_north filament312_north filament130_north filament319_north filament64_north filament155_north filament188_north filament314_north filament191_north filament246_north filament267_north filament9_north filament321_north filament48_north
hops 99,filament235_north,0.852375916,0.003421653011,179.9921268,filament366_north filament40_north filament435_north filament329_north filament330_north filament84_north filament112_north filament73_north filament82_north filament10_north filament415_north filament235_north filament328_north filament41_north filament420_north filament439_north filament443_north filament85_north filament53_north filament340_north filament249_north filament359_north filament11_north filament203_north filament38_north filament167_north filament258_north filament35_north filament440_north filament255_north filament467_north filament8_north filament57_north filament202_north filament39_north filament365_north filament259_north filament34_north filament349_north filament319_north filament9_north filament321_north filament48_north
hops 157,filament262_south,381.8832801,1.532976297,15.88146476,
hops 158,filament262_south,289.8046943,1.163349511,15.88146476,filament262_south
hops 160,filament328_south,106.1893715,0.4262710571,144.1621251,filament328_south filament316_south filament262_south filament59_south filament287_south filament327_south filament312_south filament39_south filament290_south filament274_south filament288_south
hops 166,filament191_south,9.052887226,0.03634058431,39.80406776,filament195_south filament181_south filament79_south filament22_south filament91_south filament145_south filament286_south filament265_south filament193_south filament134_south filament187_south filament268_south filament212_south filament180_south filament133_south filament311_south filament194_south filament276_south filament144_south filament135_south filament186_south filament317_south filament232_south filament197_south filament130_south filament43_south filament129_south filament284_south filament191_south filament228_south filament300_south filament136_south filament225_south filament319_south filament282_south filament92_south filament131_south filament196_south filament173_south filament77_south filament222_south filament301_south filament229_south filament190_south filament8_south filament320_south filament283_south filament161_south
